สวัสดี ;sà-wàt-dee;ជំរាបសួរ / លា / ឃើញ​អ្នក​នៅ​ពេល​ក្រោយ​។
ลาก่อน นะ;laa-gòn ná;លា
สบายดี หรือ;sà-baai-dee rĕu;អ្នក​គឺ​ជា​អ្នក​បាន​យ៉ាង​ដូចម្តេច​?
สบายดี ขอบคุณ ;sà-baai-dee kòp-kun;(ខ្ញុំ​) ការ​ផាក​ពិន័យ​, សូម​អរគុណ​អ្នក​។
สบายดี แล้ว คุณ ล่ะ ;sà-baai-dee láew kun lâ;ខ្ញុំ​មាន​សុខភាព​ល្អ​ហើយ​អ្នក​រាល់​គ្នា​?
แล้ว คุณ ล่ะ ;láew kun lâ;ចុះ​អ្នក​វិញ​?
คุณ ชื่อ อะไร ;kun chêu a-rai;ឈ្មោះ​របស់​អ្នក​គឺជា​អ្វី​?
ผม/ฉัน ชื่อ ... ;pŏm/chăn chêu;ឈ្មោះ​របស់ខ្ញុំ​គឺ ...
ชื่อ ... ;chêu ... ;ឈ្មោះ​របស់ខ្ញុំ​គឺ ...
ฉัน/ผม อายุ … (ปี);chăn/pŏm aa-yóo … (bpee);អាយុ​របស់​ខ្ញុំ​គឺ ...
ฉัน/ผม อยู่ (country);chăn/pŏm yòo (country);ខ្ញុំ​រស់​នៅ​ក្នុង (ប្រទេស​)
ประเทศ อเมริกา;bpra-têt a-may-ri-gaa;- សហរដ្ឋអាមេរិក
ประเทศ อังกฤษ;bpra-têt ang-grìt;- ប្រទេស​អង់គ្លេស
ประเทศ ไทย;bprà-tâyt tai;- ប្រទេស​ថៃ
คุณ อายุ เท่าไหร่;koon aa-yóo tâo-rài ;តើ​អ្នក​មាន​អាយុ​?
คุณ แต่งงาน หรือยัง    ;koon dtàeng-ngaan rĕu-yang;តើ​អ្នក​មាន​រៀបការ​?
พ่อแม่ คุณ อยู่ ที่ไหน;pôr-mâe koon yòo têe-năi;ដែល​ជា​កន្លែង​ដែល​ឪពុក​ម្តាយ​របស់​អ្នក​?
ช่วย หน่อย;chûay nòi ;សូម [ធម្មតា​]
กรุณา ...;ga-róo-naa ... ;សូម [ផ្លូវការ​]
โปรด ...;bpròht ... ;សូម [ផ្លូវការ​]
ขอบคุณ ;kòp-kun;សូម​អរគុណ​។
ขอบคุณ มาก ;kòp-kun mâak;សូម​អរគុណ​។
ไม่ เป็น ไร ;mâi-bpen-rai;អ្នក​ស្វាគមន៍​។
ยินดี ;yin-dee;អ្នក​ស្វាគមន៍
เสียใจ ด้วย ;sĭa-jai dûay;ខ្ញុំ​ពិត​ជា​មាន​ការ​សោក​ស្តា​យ (រំលែក​ទុក្ខ​)
ขอโทษ ;kŏr-tôht;ខ្ញុំ​សុំទោស (សុំទោស​)​, ​​ជួយ​ឱ្យ​ខ្ញុំ
(คุณ) ... ไหม;(koon) ... măi;តើ​អ្នក​មាន ... ?
(คุณ) มี ความสุข ไหม;(koon) mee kwaam-sòok măi;អ្នក​គឺ​ជា​អ្នក​សប្បាយ​ចិត្ត​?
(คุณ) เสียใจ ไหม ;(koon) sĭa-jai măi  ;តើ​អ្នក​មាន​ការ​សោក​ស្តា​យ​?
(คุณ) เหนื่อย ไหม;(koon) nèuay măi ;តើ​អ្នក​ធុញ​ទ្រាន់​?
